model	label	text	confidence	start	end
oncology_detection_superclinical	Gene_or_gene_product	EDN1	0.952	348	352
oncology_detection_superclinical	Organism	ETV4	0.823	354	358
oncology_detection_superclinical	Gene_or_gene_product	FILIP1L	0.945	360	367
oncology_detection_superclinical	Gene_or_gene_product	FOS	0.822	369	372
oncology_detection_superclinical	Gene_or_gene_product	GALNT16	0.934	374	381
oncology_detection_superclinical	Gene_or_gene_product	GAPLINC	0.888	383	390
oncology_detection_superclinical	Gene_or_gene_product	HCRTR2	0.947	392	398
oncology_detection_superclinical	Gene_or_gene_product	HMMR	0.934	400	404
oncology_detection_superclinical	Gene_or_gene_product	HTR2B	0.951	406	411
oncology_detection_superclinical	Gene_or_gene_product	IGFBP3	0.951	413	419
oncology_detection_superclinical	Gene_or_gene_product	IGFBP7	0.952	421	427
oncology_detection_superclinical	Gene_or_gene_product	IL18R1	0.948	429	435
oncology_detection_superclinical	Gene_or_gene_product	KIF20A	0.943	437	443
oncology_detection_superclinical	Gene_or_gene_product	KIF4A	0.955	445	450
oncology_detection_superclinical	Gene_or_gene_product	KRTAP2	0.956	452	458
oncology_detection_superclinical	Gene_or_gene_product	3	0.950	459	460
oncology_detection_superclinical	Gene_or_gene_product	LINC00473	0.558	462	471
oncology_detection_superclinical	Gene_or_gene_product	MAP3K7CL	0.953	473	481
oncology_detection_superclinical	Gene_or_gene_product	MCM10	0.936	483	488
oncology_detection_superclinical	Gene_or_gene_product	MK-2206	0.401	499	506
oncology_detection_superclinical	Organism	NVP-BEZ235	0.427	526	536
oncology_detection_superclinical	Gene_or_gene_product	Nutlin-3	0.671	538	546
oncology_detection_superclinical	Gene_or_gene_product	OXTR	0.949	548	552
oncology_detection_superclinical	Gene_or_gene_product	PCSK1	0.910	554	559
oncology_detection_superclinical	Gene_or_gene_product	PIMREG	0.901	561	567
oncology_detection_superclinical	Gene_or_gene_product	PLA2G4C	0.940	569	576
oncology_detection_superclinical	Gene_or_gene_product	PLAU	0.486	578	582
oncology_detection_superclinical	Gene_or_gene_product	POLE	0.367	584	588
oncology_detection_superclinical	Gene_or_gene_product	PSG4	0.427	611	615
oncology_detection_superclinical	Gene_or_gene_product	PSG5	0.483	617	621
oncology_detection_superclinical	Simple_chemical	QUINACRINE HYDROCHLORIDE.	0.896	623	648
oncology_detection_superclinical	Gene_or_gene_product	RRM2	0.942	649	653
oncology_detection_superclinical	Gene_or_gene_product	SAPCD2	0.948	655	661
oncology_detection_superclinical	Gene_or_gene_product	SERPINE1	0.957	663	671
oncology_detection_superclinical	Gene_or_gene_product	SPAG5	0.947	673	678
oncology_detection_superclinical	Gene_or_gene_product	SPP1	0.941	680	684
oncology_detection_superclinical	Gene_or_gene_product	SULF1	0.952	686	691
oncology_detection_superclinical	Gene_or_gene_product	TGFBI	0.940	693	698
oncology_detection_superclinical	Gene_or_gene_product	TMEM200A	0.929	700	708
oncology_detection_superclinical	Gene_or_gene_product	TMEM40	0.941	710	716
oncology_detection_superclinical	Gene_or_gene_product	TNFRSF11B	0.948	718	727
oncology_detection_superclinical	Simple_chemical	dovitinib	0.962	729	738
oncology_detection_superclinical	Simple_chemical	mitoxantrone	0.966	740	752
oncology_detection_superclinical	Simple_chemical	palbociclib	0.961	754	765
oncology_detection_superclinical	Gene_or_gene_product	torin-2	0.934	767	774
oncology_detection_superclinical	Simple_chemical	wortmannin	0.880	776	786
