order,viable_route,aborted_at_step,failure_mode
CDKN2A_loss -> amplify -> progenitor -> fusion -> immortalize -> apop_buffer,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> amplify -> progenitor -> immortalize -> apop_buffer -> fusion,True,,
CDKN2A_loss -> amplify -> progenitor -> immortalize -> fusion -> apop_buffer,False,5,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> apop_buffer -> amplify -> fusion -> immortalize -> progenitor,True,,
CDKN2A_loss -> apop_buffer -> amplify -> fusion -> progenitor -> immortalize,True,,
CDKN2A_loss -> apop_buffer -> amplify -> immortalize -> fusion -> progenitor,True,,
CDKN2A_loss -> apop_buffer -> amplify -> immortalize -> progenitor -> fusion,True,,
CDKN2A_loss -> apop_buffer -> amplify -> progenitor -> fusion -> immortalize,True,,
CDKN2A_loss -> apop_buffer -> amplify -> progenitor -> immortalize -> fusion,True,,
CDKN2A_loss -> apop_buffer -> fusion -> amplify -> immortalize -> progenitor,True,,
CDKN2A_loss -> apop_buffer -> fusion -> amplify -> progenitor -> immortalize,True,,
CDKN2A_loss -> apop_buffer -> fusion -> immortalize -> amplify -> progenitor,True,,
CDKN2A_loss -> apop_buffer -> fusion -> immortalize -> progenitor -> amplify,True,,
CDKN2A_loss -> apop_buffer -> fusion -> progenitor -> amplify -> immortalize,True,,
CDKN2A_loss -> apop_buffer -> fusion -> progenitor -> immortalize -> amplify,True,,
CDKN2A_loss -> apop_buffer -> immortalize -> amplify -> fusion -> progenitor,True,,
CDKN2A_loss -> apop_buffer -> immortalize -> amplify -> progenitor -> fusion,True,,
CDKN2A_loss -> apop_buffer -> immortalize -> fusion -> amplify -> progenitor,True,,
CDKN2A_loss -> apop_buffer -> immortalize -> fusion -> progenitor -> amplify,True,,
CDKN2A_loss -> apop_buffer -> immortalize -> progenitor -> amplify -> fusion,True,,
CDKN2A_loss -> apop_buffer -> immortalize -> progenitor -> fusion -> amplify,True,,
CDKN2A_loss -> apop_buffer -> progenitor -> amplify -> fusion -> immortalize,True,,
CDKN2A_loss -> apop_buffer -> progenitor -> amplify -> immortalize -> fusion,True,,
CDKN2A_loss -> apop_buffer -> progenitor -> fusion -> amplify -> immortalize,True,,
CDKN2A_loss -> apop_buffer -> progenitor -> fusion -> immortalize -> amplify,True,,
CDKN2A_loss -> apop_buffer -> progenitor -> immortalize -> amplify -> fusion,True,,
CDKN2A_loss -> apop_buffer -> progenitor -> immortalize -> fusion -> amplify,True,,
CDKN2A_loss -> fusion -> amplify -> apop_buffer -> immortalize -> progenitor,True,,
CDKN2A_loss -> fusion -> amplify -> apop_buffer -> progenitor -> immortalize,True,,
CDKN2A_loss -> fusion -> amplify -> immortalize -> apop_buffer -> progenitor,True,,
CDKN2A_loss -> fusion -> amplify -> immortalize -> progenitor -> apop_buffer,False,5,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> fusion -> amplify -> progenitor -> apop_buffer -> immortalize,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> fusion -> amplify -> progenitor -> immortalize -> apop_buffer,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> fusion -> apop_buffer -> amplify -> immortalize -> progenitor,True,,
CDKN2A_loss -> fusion -> apop_buffer -> amplify -> progenitor -> immortalize,True,,
CDKN2A_loss -> fusion -> apop_buffer -> immortalize -> amplify -> progenitor,True,,
CDKN2A_loss -> fusion -> apop_buffer -> immortalize -> progenitor -> amplify,True,,
CDKN2A_loss -> fusion -> apop_buffer -> progenitor -> amplify -> immortalize,True,,
CDKN2A_loss -> fusion -> apop_buffer -> progenitor -> immortalize -> amplify,True,,
CDKN2A_loss -> fusion -> immortalize -> amplify -> apop_buffer -> progenitor,True,,
CDKN2A_loss -> fusion -> immortalize -> amplify -> progenitor -> apop_buffer,False,5,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> fusion -> immortalize -> apop_buffer -> amplify -> progenitor,True,,
CDKN2A_loss -> fusion -> immortalize -> apop_buffer -> progenitor -> amplify,True,,
CDKN2A_loss -> fusion -> immortalize -> progenitor -> amplify -> apop_buffer,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> fusion -> immortalize -> progenitor -> apop_buffer -> amplify,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> fusion -> progenitor -> amplify -> apop_buffer -> immortalize,False,3,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> fusion -> progenitor -> amplify -> immortalize -> apop_buffer,False,3,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> fusion -> progenitor -> apop_buffer -> amplify -> immortalize,False,3,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> fusion -> progenitor -> apop_buffer -> immortalize -> amplify,False,3,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> fusion -> progenitor -> immortalize -> amplify -> apop_buffer,False,3,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> fusion -> progenitor -> immortalize -> apop_buffer -> amplify,False,3,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> immortalize -> amplify -> apop_buffer -> fusion -> progenitor,True,,
CDKN2A_loss -> immortalize -> amplify -> apop_buffer -> progenitor -> fusion,True,,
CDKN2A_loss -> immortalize -> amplify -> fusion -> apop_buffer -> progenitor,True,,
CDKN2A_loss -> immortalize -> amplify -> fusion -> progenitor -> apop_buffer,False,5,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> immortalize -> amplify -> progenitor -> apop_buffer -> fusion,True,,
CDKN2A_loss -> immortalize -> amplify -> progenitor -> fusion -> apop_buffer,False,5,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> immortalize -> apop_buffer -> amplify -> fusion -> progenitor,True,,
CDKN2A_loss -> immortalize -> apop_buffer -> amplify -> progenitor -> fusion,True,,
CDKN2A_loss -> immortalize -> apop_buffer -> fusion -> amplify -> progenitor,True,,
CDKN2A_loss -> immortalize -> apop_buffer -> fusion -> progenitor -> amplify,True,,
CDKN2A_loss -> immortalize -> apop_buffer -> progenitor -> amplify -> fusion,True,,
CDKN2A_loss -> immortalize -> apop_buffer -> progenitor -> fusion -> amplify,True,,
CDKN2A_loss -> immortalize -> fusion -> amplify -> apop_buffer -> progenitor,True,,
CDKN2A_loss -> immortalize -> fusion -> amplify -> progenitor -> apop_buffer,False,5,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> immortalize -> fusion -> apop_buffer -> amplify -> progenitor,True,,
CDKN2A_loss -> immortalize -> fusion -> apop_buffer -> progenitor -> amplify,True,,
CDKN2A_loss -> immortalize -> fusion -> progenitor -> amplify -> apop_buffer,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> immortalize -> fusion -> progenitor -> apop_buffer -> amplify,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> immortalize -> progenitor -> amplify -> apop_buffer -> fusion,True,,
CDKN2A_loss -> immortalize -> progenitor -> amplify -> fusion -> apop_buffer,False,5,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> immortalize -> progenitor -> apop_buffer -> amplify -> fusion,True,,
CDKN2A_loss -> immortalize -> progenitor -> apop_buffer -> fusion -> amplify,True,,
CDKN2A_loss -> immortalize -> progenitor -> fusion -> amplify -> apop_buffer,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> immortalize -> progenitor -> fusion -> apop_buffer -> amplify,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> progenitor -> amplify -> apop_buffer -> fusion -> immortalize,True,,
CDKN2A_loss -> progenitor -> amplify -> apop_buffer -> immortalize -> fusion,True,,
CDKN2A_loss -> progenitor -> amplify -> fusion -> apop_buffer -> immortalize,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> progenitor -> amplify -> fusion -> immortalize -> apop_buffer,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> progenitor -> amplify -> immortalize -> apop_buffer -> fusion,True,,
CDKN2A_loss -> progenitor -> amplify -> immortalize -> fusion -> apop_buffer,False,5,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> progenitor -> apop_buffer -> amplify -> fusion -> immortalize,True,,
CDKN2A_loss -> progenitor -> apop_buffer -> amplify -> immortalize -> fusion,True,,
CDKN2A_loss -> progenitor -> apop_buffer -> fusion -> amplify -> immortalize,True,,
CDKN2A_loss -> progenitor -> apop_buffer -> fusion -> immortalize -> amplify,True,,
CDKN2A_loss -> progenitor -> apop_buffer -> immortalize -> amplify -> fusion,True,,
CDKN2A_loss -> progenitor -> apop_buffer -> immortalize -> fusion -> amplify,True,,
CDKN2A_loss -> progenitor -> fusion -> amplify -> apop_buffer -> immortalize,False,3,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> progenitor -> fusion -> amplify -> immortalize -> apop_buffer,False,3,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> progenitor -> fusion -> apop_buffer -> amplify -> immortalize,False,3,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> progenitor -> fusion -> apop_buffer -> immortalize -> amplify,False,3,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> progenitor -> fusion -> immortalize -> amplify -> apop_buffer,False,3,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> progenitor -> fusion -> immortalize -> apop_buffer -> amplify,False,3,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> progenitor -> immortalize -> amplify -> apop_buffer -> fusion,True,,
CDKN2A_loss -> progenitor -> immortalize -> amplify -> fusion -> apop_buffer,False,5,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> progenitor -> immortalize -> apop_buffer -> amplify -> fusion,True,,
CDKN2A_loss -> progenitor -> immortalize -> apop_buffer -> fusion -> amplify,True,,
CDKN2A_loss -> progenitor -> immortalize -> fusion -> amplify -> apop_buffer,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
CDKN2A_loss -> progenitor -> immortalize -> fusion -> apop_buffer -> amplify,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> CDKN2A_loss -> apop_buffer -> fusion -> immortalize -> progenitor,True,,
amplify -> CDKN2A_loss -> apop_buffer -> fusion -> progenitor -> immortalize,True,,
amplify -> CDKN2A_loss -> apop_buffer -> immortalize -> fusion -> progenitor,True,,
amplify -> CDKN2A_loss -> apop_buffer -> immortalize -> progenitor -> fusion,True,,
amplify -> CDKN2A_loss -> apop_buffer -> progenitor -> fusion -> immortalize,True,,
amplify -> CDKN2A_loss -> apop_buffer -> progenitor -> immortalize -> fusion,True,,
amplify -> CDKN2A_loss -> fusion -> apop_buffer -> immortalize -> progenitor,True,,
amplify -> CDKN2A_loss -> fusion -> apop_buffer -> progenitor -> immortalize,True,,
amplify -> CDKN2A_loss -> fusion -> immortalize -> apop_buffer -> progenitor,True,,
amplify -> CDKN2A_loss -> fusion -> immortalize -> progenitor -> apop_buffer,False,5,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> CDKN2A_loss -> fusion -> progenitor -> apop_buffer -> immortalize,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> CDKN2A_loss -> fusion -> progenitor -> immortalize -> apop_buffer,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> CDKN2A_loss -> immortalize -> apop_buffer -> fusion -> progenitor,True,,
amplify -> CDKN2A_loss -> immortalize -> apop_buffer -> progenitor -> fusion,True,,
amplify -> CDKN2A_loss -> immortalize -> fusion -> apop_buffer -> progenitor,True,,
amplify -> CDKN2A_loss -> immortalize -> fusion -> progenitor -> apop_buffer,False,5,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> CDKN2A_loss -> immortalize -> progenitor -> apop_buffer -> fusion,True,,
amplify -> CDKN2A_loss -> immortalize -> progenitor -> fusion -> apop_buffer,False,5,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> CDKN2A_loss -> progenitor -> apop_buffer -> fusion -> immortalize,True,,
amplify -> CDKN2A_loss -> progenitor -> apop_buffer -> immortalize -> fusion,True,,
amplify -> CDKN2A_loss -> progenitor -> fusion -> apop_buffer -> immortalize,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> CDKN2A_loss -> progenitor -> fusion -> immortalize -> apop_buffer,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> CDKN2A_loss -> progenitor -> immortalize -> apop_buffer -> fusion,True,,
amplify -> CDKN2A_loss -> progenitor -> immortalize -> fusion -> apop_buffer,False,5,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> apop_buffer -> CDKN2A_loss -> fusion -> immortalize -> progenitor,True,,
amplify -> apop_buffer -> CDKN2A_loss -> fusion -> progenitor -> immortalize,True,,
amplify -> apop_buffer -> CDKN2A_loss -> immortalize -> fusion -> progenitor,True,,
amplify -> apop_buffer -> CDKN2A_loss -> immortalize -> progenitor -> fusion,True,,
amplify -> apop_buffer -> CDKN2A_loss -> progenitor -> fusion -> immortalize,True,,
amplify -> apop_buffer -> CDKN2A_loss -> progenitor -> immortalize -> fusion,True,,
amplify -> apop_buffer -> fusion -> CDKN2A_loss -> immortalize -> progenitor,True,,
amplify -> apop_buffer -> fusion -> CDKN2A_loss -> progenitor -> immortalize,True,,
amplify -> apop_buffer -> fusion -> immortalize -> CDKN2A_loss -> progenitor,True,,
amplify -> apop_buffer -> fusion -> immortalize -> progenitor -> CDKN2A_loss,True,,
amplify -> apop_buffer -> fusion -> progenitor -> CDKN2A_loss -> immortalize,True,,
amplify -> apop_buffer -> fusion -> progenitor -> immortalize -> CDKN2A_loss,True,,
amplify -> apop_buffer -> immortalize -> CDKN2A_loss -> fusion -> progenitor,True,,
amplify -> apop_buffer -> immortalize -> CDKN2A_loss -> progenitor -> fusion,True,,
amplify -> apop_buffer -> immortalize -> fusion -> CDKN2A_loss -> progenitor,True,,
amplify -> apop_buffer -> immortalize -> fusion -> progenitor -> CDKN2A_loss,True,,
amplify -> apop_buffer -> immortalize -> progenitor -> CDKN2A_loss -> fusion,True,,
amplify -> apop_buffer -> immortalize -> progenitor -> fusion -> CDKN2A_loss,True,,
amplify -> apop_buffer -> progenitor -> CDKN2A_loss -> fusion -> immortalize,True,,
amplify -> apop_buffer -> progenitor -> CDKN2A_loss -> immortalize -> fusion,True,,
amplify -> apop_buffer -> progenitor -> fusion -> CDKN2A_loss -> immortalize,True,,
amplify -> apop_buffer -> progenitor -> fusion -> immortalize -> CDKN2A_loss,True,,
amplify -> apop_buffer -> progenitor -> immortalize -> CDKN2A_loss -> fusion,True,,
amplify -> apop_buffer -> progenitor -> immortalize -> fusion -> CDKN2A_loss,True,,
amplify -> fusion -> CDKN2A_loss -> apop_buffer -> immortalize -> progenitor,True,,
amplify -> fusion -> CDKN2A_loss -> apop_buffer -> progenitor -> immortalize,True,,
amplify -> fusion -> CDKN2A_loss -> immortalize -> apop_buffer -> progenitor,True,,
amplify -> fusion -> CDKN2A_loss -> immortalize -> progenitor -> apop_buffer,False,5,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> fusion -> CDKN2A_loss -> progenitor -> apop_buffer -> immortalize,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> fusion -> CDKN2A_loss -> progenitor -> immortalize -> apop_buffer,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> fusion -> apop_buffer -> CDKN2A_loss -> immortalize -> progenitor,True,,
amplify -> fusion -> apop_buffer -> CDKN2A_loss -> progenitor -> immortalize,True,,
amplify -> fusion -> apop_buffer -> immortalize -> CDKN2A_loss -> progenitor,True,,
amplify -> fusion -> apop_buffer -> immortalize -> progenitor -> CDKN2A_loss,True,,
amplify -> fusion -> apop_buffer -> progenitor -> CDKN2A_loss -> immortalize,True,,
amplify -> fusion -> apop_buffer -> progenitor -> immortalize -> CDKN2A_loss,True,,
amplify -> fusion -> immortalize -> CDKN2A_loss -> apop_buffer -> progenitor,True,,
amplify -> fusion -> immortalize -> CDKN2A_loss -> progenitor -> apop_buffer,False,5,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> fusion -> immortalize -> apop_buffer -> CDKN2A_loss -> progenitor,True,,
amplify -> fusion -> immortalize -> apop_buffer -> progenitor -> CDKN2A_loss,True,,
amplify -> fusion -> immortalize -> progenitor -> CDKN2A_loss -> apop_buffer,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> fusion -> immortalize -> progenitor -> apop_buffer -> CDKN2A_loss,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> fusion -> progenitor -> CDKN2A_loss -> apop_buffer -> immortalize,False,3,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> fusion -> progenitor -> CDKN2A_loss -> immortalize -> apop_buffer,False,3,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> fusion -> progenitor -> apop_buffer -> CDKN2A_loss -> immortalize,False,3,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> fusion -> progenitor -> apop_buffer -> immortalize -> CDKN2A_loss,False,3,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> fusion -> progenitor -> immortalize -> CDKN2A_loss -> apop_buffer,False,3,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> fusion -> progenitor -> immortalize -> apop_buffer -> CDKN2A_loss,False,3,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> immortalize -> CDKN2A_loss -> apop_buffer -> fusion -> progenitor,True,,
amplify -> immortalize -> CDKN2A_loss -> apop_buffer -> progenitor -> fusion,True,,
amplify -> immortalize -> CDKN2A_loss -> fusion -> apop_buffer -> progenitor,True,,
amplify -> immortalize -> CDKN2A_loss -> fusion -> progenitor -> apop_buffer,False,5,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> immortalize -> CDKN2A_loss -> progenitor -> apop_buffer -> fusion,True,,
amplify -> immortalize -> CDKN2A_loss -> progenitor -> fusion -> apop_buffer,False,5,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> immortalize -> apop_buffer -> CDKN2A_loss -> fusion -> progenitor,True,,
amplify -> immortalize -> apop_buffer -> CDKN2A_loss -> progenitor -> fusion,True,,
amplify -> immortalize -> apop_buffer -> fusion -> CDKN2A_loss -> progenitor,True,,
amplify -> immortalize -> apop_buffer -> fusion -> progenitor -> CDKN2A_loss,True,,
amplify -> immortalize -> apop_buffer -> progenitor -> CDKN2A_loss -> fusion,True,,
amplify -> immortalize -> apop_buffer -> progenitor -> fusion -> CDKN2A_loss,True,,
amplify -> immortalize -> fusion -> CDKN2A_loss -> apop_buffer -> progenitor,True,,
amplify -> immortalize -> fusion -> CDKN2A_loss -> progenitor -> apop_buffer,False,5,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> immortalize -> fusion -> apop_buffer -> CDKN2A_loss -> progenitor,True,,
amplify -> immortalize -> fusion -> apop_buffer -> progenitor -> CDKN2A_loss,True,,
amplify -> immortalize -> fusion -> progenitor -> CDKN2A_loss -> apop_buffer,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> immortalize -> fusion -> progenitor -> apop_buffer -> CDKN2A_loss,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> immortalize -> progenitor -> CDKN2A_loss -> apop_buffer -> fusion,True,,
amplify -> immortalize -> progenitor -> CDKN2A_loss -> fusion -> apop_buffer,False,5,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> immortalize -> progenitor -> apop_buffer -> CDKN2A_loss -> fusion,True,,
amplify -> immortalize -> progenitor -> apop_buffer -> fusion -> CDKN2A_loss,True,,
amplify -> immortalize -> progenitor -> fusion -> CDKN2A_loss -> apop_buffer,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> immortalize -> progenitor -> fusion -> apop_buffer -> CDKN2A_loss,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> progenitor -> CDKN2A_loss -> apop_buffer -> fusion -> immortalize,True,,
amplify -> progenitor -> CDKN2A_loss -> apop_buffer -> immortalize -> fusion,True,,
amplify -> progenitor -> CDKN2A_loss -> fusion -> apop_buffer -> immortalize,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> progenitor -> CDKN2A_loss -> fusion -> immortalize -> apop_buffer,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> progenitor -> CDKN2A_loss -> immortalize -> apop_buffer -> fusion,True,,
amplify -> progenitor -> CDKN2A_loss -> immortalize -> fusion -> apop_buffer,False,5,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> progenitor -> apop_buffer -> CDKN2A_loss -> fusion -> immortalize,True,,
amplify -> progenitor -> apop_buffer -> CDKN2A_loss -> immortalize -> fusion,True,,
amplify -> progenitor -> apop_buffer -> fusion -> CDKN2A_loss -> immortalize,True,,
amplify -> progenitor -> apop_buffer -> fusion -> immortalize -> CDKN2A_loss,True,,
amplify -> progenitor -> apop_buffer -> immortalize -> CDKN2A_loss -> fusion,True,,
amplify -> progenitor -> apop_buffer -> immortalize -> fusion -> CDKN2A_loss,True,,
amplify -> progenitor -> fusion -> CDKN2A_loss -> apop_buffer -> immortalize,False,3,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> progenitor -> fusion -> CDKN2A_loss -> immortalize -> apop_buffer,False,3,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> progenitor -> fusion -> apop_buffer -> CDKN2A_loss -> immortalize,False,3,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> progenitor -> fusion -> apop_buffer -> immortalize -> CDKN2A_loss,False,3,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> progenitor -> fusion -> immortalize -> CDKN2A_loss -> apop_buffer,False,3,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> progenitor -> fusion -> immortalize -> apop_buffer -> CDKN2A_loss,False,3,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> progenitor -> immortalize -> CDKN2A_loss -> apop_buffer -> fusion,True,,
amplify -> progenitor -> immortalize -> CDKN2A_loss -> fusion -> apop_buffer,False,5,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> progenitor -> immortalize -> apop_buffer -> CDKN2A_loss -> fusion,True,,
amplify -> progenitor -> immortalize -> apop_buffer -> fusion -> CDKN2A_loss,True,,
amplify -> progenitor -> immortalize -> fusion -> CDKN2A_loss -> apop_buffer,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
amplify -> progenitor -> immortalize -> fusion -> apop_buffer -> CDKN2A_loss,False,4,"death (DUX4/oncogene apoptosis, unbuffered)"
apop_buffer -> CDKN2A_loss -> amplify -> fusion -> immortalize -> progenitor,True,,
apop_buffer -> CDKN2A_loss -> amplify -> fusion -> progenitor -> immortalize,True,,
apop_buffer -> CDKN2A_loss -> amplify -> immortalize -> fusion -> progenitor,True,,
apop_buffer -> CDKN2A_loss -> amplify -> immortalize -> progenitor -> fusion,True,,
apop_buffer -> CDKN2A_loss -> amplify -> progenitor -> fusion -> immortalize,True,,
apop_buffer -> CDKN2A_loss -> amplify -> progenitor -> immortalize -> fusion,True,,
apop_buffer -> CDKN2A_loss -> fusion -> amplify -> immortalize -> progenitor,True,,
apop_buffer -> CDKN2A_loss -> fusion -> amplify -> progenitor -> immortalize,True,,
apop_buffer -> CDKN2A_loss -> fusion -> immortalize -> amplify -> progenitor,True,,
apop_buffer -> CDKN2A_loss -> fusion -> immortalize -> progenitor -> amplify,True,,
apop_buffer -> CDKN2A_loss -> fusion -> progenitor -> amplify -> immortalize,True,,
apop_buffer -> CDKN2A_loss -> fusion -> progenitor -> immortalize -> amplify,True,,
apop_buffer -> CDKN2A_loss -> immortalize -> amplify -> fusion -> progenitor,True,,
apop_buffer -> CDKN2A_loss -> immortalize -> amplify -> progenitor -> fusion,True,,
apop_buffer -> CDKN2A_loss -> immortalize -> fusion -> amplify -> progenitor,True,,
apop_buffer -> CDKN2A_loss -> immortalize -> fusion -> progenitor -> amplify,True,,
apop_buffer -> CDKN2A_loss -> immortalize -> progenitor -> amplify -> fusion,True,,
apop_buffer -> CDKN2A_loss -> immortalize -> progenitor -> fusion -> amplify,True,,
apop_buffer -> CDKN2A_loss -> progenitor -> amplify -> fusion -> immortalize,True,,
apop_buffer -> CDKN2A_loss -> progenitor -> amplify -> immortalize -> fusion,True,,
apop_buffer -> CDKN2A_loss -> progenitor -> fusion -> amplify -> immortalize,True,,
apop_buffer -> CDKN2A_loss -> progenitor -> fusion -> immortalize -> amplify,True,,
apop_buffer -> CDKN2A_loss -> progenitor -> immortalize -> amplify -> fusion,True,,
apop_buffer -> CDKN2A_loss -> progenitor -> immortalize -> fusion -> amplify,True,,
apop_buffer -> amplify -> CDKN2A_loss -> fusion -> immortalize -> progenitor,True,,
apop_buffer -> amplify -> CDKN2A_loss -> fusion -> progenitor -> immortalize,True,,
apop_buffer -> amplify -> CDKN2A_loss -> immortalize -> fusion -> progenitor,True,,
apop_buffer -> amplify -> CDKN2A_loss -> immortalize -> progenitor -> fusion,True,,
apop_buffer -> amplify -> CDKN2A_loss -> progenitor -> fusion -> immortalize,True,,
