intervention,n,Prolif,MHCI,HLA_E_surface,NKG2A_brake,NKG2D_L,DNAM_active,Tcell_kill,NK_kill,ImmuneKill,Senescent,Cleared,TargetState
Diff+BETi+aPD1,3,0,0,0,0,0,0,0,0,0,0,0,0
Diff+BETi+aTIGIT,3,0,0,0,0,0,1,0,0,0,0,0,0
Diff+BETi+NKarm,3,0,0,0,0,0,0,0,0,0,0,0,0
Diff+BETi+aNKG2A,3,0,0,0,0,0,0,0,0,0,0,0,0
Diff+BETi+Tdeplete,3,0,0,0,0,0,0,0,0,0,0,0,0
Diff+aPD1+aTIGIT,3,0,0,0,0,0,1,0,0,0,0,0,0
Diff+aPD1+NKarm,3,0,0,0,0,0,0,0,0,0,0,0,0
Diff+aPD1+aNKG2A,3,0,0,0,0,0,0,0,0,0,0,0,0
Diff+aPD1+Tdeplete,3,0,0,0,0,0,0,0,0,0,0,0,0
Diff+aTIGIT+NKarm,3,0,0,0,0,0,1,0,0,0,0,0,0
Diff+aTIGIT+aNKG2A,3,0,0,0,0,0,1,0,0,0,0,0,0
Diff+aTIGIT+Tdeplete,3,0,0,0,0,0,1,0,1,1,0,1,1
Diff+NKarm+aNKG2A,3,0,0,0,0,0,0,0,0,0,0,0,0
Diff+NKarm+Tdeplete,3,0,0,0,0,0,0,0,0,0,0,0,0
Diff+aNKG2A+Tdeplete,3,0,0,0,0,0,0,0,0,0,0,0,0
BETi+aPD1+aTIGIT,3,0,0,0,0,0,1,0,0,0,0,0,0
BETi+aPD1+NKarm,3,0,0,0,0,0,0,0,0,0,0,0,0
BETi+aPD1+aNKG2A,3,0,0,0,0,0,0,0,0,0,0,0,0
BETi+aPD1+Tdeplete,3,0,0,0,0,0,0,0,0,0,0,0,0
BETi+aTIGIT+NKarm,3,0,0,0,0,0,1,0,0,0,0,0,0
BETi+aTIGIT+aNKG2A,3,0,0,0,0,0,1,0,0,0,0,0,0
BETi+aTIGIT+Tdeplete,3,0,0,0,0,0,1,0,1,1,0,1,1
BETi+NKarm+aNKG2A,3,0,0,0,0,0,0,0,0,0,0,0,0
BETi+NKarm+Tdeplete,3,0,0,0,0,0,0,0,0,0,0,0,0
BETi+aNKG2A+Tdeplete,3,0,0,0,0,0,0,0,0,0,0,0,0
aPD1+aTIGIT+NKarm,3,1,0,0,0,0,1,0,0,0,0,0,0
aPD1+aTIGIT+aNKG2A,3,1,0,0,0,0,1,0,0,0,0,0,0
aPD1+aTIGIT+Tdeplete,3,1,0,0,0,0,1,0,1,1,0,1,0
aPD1+NKarm+aNKG2A,3,1,0,0,0,0,0,0,0,0,0,0,0
aPD1+NKarm+Tdeplete,3,1,0,0,0,0,0,0,0,0,0,0,0
aPD1+aNKG2A+Tdeplete,3,1,0,0,0,0,0,0,0,0,0,0,0
aTIGIT+NKarm+aNKG2A,3,1,0,0,0,0,1,0,0,0,0,0,0
aTIGIT+NKarm+Tdeplete,3,1,0,0,0,0,1,0,1,1,0,1,0
aTIGIT+aNKG2A+Tdeplete,3,1,0,0,0,0,1,0,1,1,0,1,0
NKarm+aNKG2A+Tdeplete,3,1,0,0,0,0,0,0,0,0,0,0,0
EpiPrime+CDK46i+Diff+BETi,4,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+aPD1,4,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+aTIGIT,4,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+NKarm,4,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+aNKG2A,4,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+Tdeplete,4,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+BETi+aPD1,4,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+BETi+aTIGIT,4,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+BETi+NKarm,4,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+BETi+aNKG2A,4,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+BETi+Tdeplete,4,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+aPD1+aTIGIT,4,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+aPD1+NKarm,4,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+aPD1+aNKG2A,4,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+aPD1+Tdeplete,4,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+aTIGIT+NKarm,4,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+aTIGIT+aNKG2A,4,0,1,1,0,1,1,0,1,1,1,1,1
EpiPrime+CDK46i+aTIGIT+Tdeplete,4,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+NKarm+aNKG2A,4,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+NKarm+Tdeplete,4,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+aNKG2A+Tdeplete,4,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+Diff+BETi+aPD1,4,0,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+Diff+BETi+aTIGIT,4,0,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+Diff+BETi+NKarm,4,0,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+Diff+BETi+aNKG2A,4,0,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+Diff+BETi+Tdeplete,4,0,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+Diff+aPD1+aTIGIT,4,0,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+Diff+aPD1+NKarm,4,0,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+Diff+aPD1+aNKG2A,4,0,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+Diff+aPD1+Tdeplete,4,0,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+Diff+aTIGIT+NKarm,4,0,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+Diff+aTIGIT+aNKG2A,4,0,1,1,0,0,1,0,0,0,0,0,0
EpiPrime+Diff+aTIGIT+Tdeplete,4,0,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+Diff+NKarm+aNKG2A,4,0,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+Diff+NKarm+Tdeplete,4,0,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+Diff+aNKG2A+Tdeplete,4,0,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+BETi+aPD1+aTIGIT,4,0,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+BETi+aPD1+NKarm,4,0,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+BETi+aPD1+aNKG2A,4,0,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+BETi+aPD1+Tdeplete,4,0,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+BETi+aTIGIT+NKarm,4,0,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+BETi+aTIGIT+aNKG2A,4,0,1,1,0,0,1,0,0,0,0,0,0
EpiPrime+BETi+aTIGIT+Tdeplete,4,0,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+BETi+NKarm+aNKG2A,4,0,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+BETi+NKarm+Tdeplete,4,0,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+BETi+aNKG2A+Tdeplete,4,0,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+aPD1+aTIGIT+NKarm,4,1,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+aPD1+aTIGIT+aNKG2A,4,1,1,1,0,0,1,0,0,0,0,0,0
EpiPrime+aPD1+aTIGIT+Tdeplete,4,1,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+aPD1+NKarm+aNKG2A,4,1,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+aPD1+NKarm+Tdeplete,4,1,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+aPD1+aNKG2A+Tdeplete,4,1,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+aTIGIT+NKarm+aNKG2A,4,1,1,1,0,0,1,0,0,0,0,0,0
EpiPrime+aTIGIT+NKarm+Tdeplete,4,1,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+aTIGIT+aNKG2A+Tdeplete,4,1,1,1,0,0,1,1,0,1,0,1,0
EpiPrime+NKarm+aNKG2A+Tdeplete,4,1,1,1,0,0,0,0,0,0,0,0,0
CDK46i+Diff+BETi+aPD1,4,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+Diff+BETi+aTIGIT,4,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+Diff+BETi+NKarm,4,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+Diff+BETi+aNKG2A,4,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+Diff+BETi+Tdeplete,4,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+Diff+aPD1+aTIGIT,4,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+Diff+aPD1+NKarm,4,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+Diff+aPD1+aNKG2A,4,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+Diff+aPD1+Tdeplete,4,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+Diff+aTIGIT+NKarm,4,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+Diff+aTIGIT+aNKG2A,4,0,1,1,0,1,1,0,1,1,1,1,1
CDK46i+Diff+aTIGIT+Tdeplete,4,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+Diff+NKarm+aNKG2A,4,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+Diff+NKarm+Tdeplete,4,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+Diff+aNKG2A+Tdeplete,4,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+BETi+aPD1+aTIGIT,4,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+BETi+aPD1+NKarm,4,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+BETi+aPD1+aNKG2A,4,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+BETi+aPD1+Tdeplete,4,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+BETi+aTIGIT+NKarm,4,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+BETi+aTIGIT+aNKG2A,4,0,1,1,0,1,1,0,1,1,1,1,1
CDK46i+BETi+aTIGIT+Tdeplete,4,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+BETi+NKarm+aNKG2A,4,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+BETi+NKarm+Tdeplete,4,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+BETi+aNKG2A+Tdeplete,4,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+aPD1+aTIGIT+NKarm,4,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+aPD1+aTIGIT+aNKG2A,4,0,1,1,0,1,1,1,1,1,1,1,1
CDK46i+aPD1+aTIGIT+Tdeplete,4,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+aPD1+NKarm+aNKG2A,4,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+aPD1+NKarm+Tdeplete,4,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+aPD1+aNKG2A+Tdeplete,4,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+aTIGIT+NKarm+aNKG2A,4,0,1,1,0,1,1,0,1,1,1,1,1
CDK46i+aTIGIT+NKarm+Tdeplete,4,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+aTIGIT+aNKG2A+Tdeplete,4,0,1,1,0,1,1,0,1,1,1,1,1
CDK46i+NKarm+aNKG2A+Tdeplete,4,0,1,1,0,1,0,0,0,0,1,0,0
Diff+BETi+aPD1+aTIGIT,4,0,0,0,0,0,1,0,0,0,0,0,0
Diff+BETi+aPD1+NKarm,4,0,0,0,0,0,0,0,0,0,0,0,0
Diff+BETi+aPD1+aNKG2A,4,0,0,0,0,0,0,0,0,0,0,0,0
Diff+BETi+aPD1+Tdeplete,4,0,0,0,0,0,0,0,0,0,0,0,0
Diff+BETi+aTIGIT+NKarm,4,0,0,0,0,0,1,0,0,0,0,0,0
Diff+BETi+aTIGIT+aNKG2A,4,0,0,0,0,0,1,0,0,0,0,0,0
Diff+BETi+aTIGIT+Tdeplete,4,0,0,0,0,0,1,0,1,1,0,1,1
Diff+BETi+NKarm+aNKG2A,4,0,0,0,0,0,0,0,0,0,0,0,0
Diff+BETi+NKarm+Tdeplete,4,0,0,0,0,0,0,0,0,0,0,0,0
Diff+BETi+aNKG2A+Tdeplete,4,0,0,0,0,0,0,0,0,0,0,0,0
Diff+aPD1+aTIGIT+NKarm,4,0,0,0,0,0,1,0,0,0,0,0,0
Diff+aPD1+aTIGIT+aNKG2A,4,0,0,0,0,0,1,0,0,0,0,0,0
Diff+aPD1+aTIGIT+Tdeplete,4,0,0,0,0,0,1,0,1,1,0,1,1
Diff+aPD1+NKarm+aNKG2A,4,0,0,0,0,0,0,0,0,0,0,0,0
Diff+aPD1+NKarm+Tdeplete,4,0,0,0,0,0,0,0,0,0,0,0,0
Diff+aPD1+aNKG2A+Tdeplete,4,0,0,0,0,0,0,0,0,0,0,0,0
Diff+aTIGIT+NKarm+aNKG2A,4,0,0,0,0,0,1,0,0,0,0,0,0
Diff+aTIGIT+NKarm+Tdeplete,4,0,0,0,0,0,1,0,1,1,0,1,1
Diff+aTIGIT+aNKG2A+Tdeplete,4,0,0,0,0,0,1,0,1,1,0,1,1
Diff+NKarm+aNKG2A+Tdeplete,4,0,0,0,0,0,0,0,0,0,0,0,0
BETi+aPD1+aTIGIT+NKarm,4,0,0,0,0,0,1,0,0,0,0,0,0
BETi+aPD1+aTIGIT+aNKG2A,4,0,0,0,0,0,1,0,0,0,0,0,0
BETi+aPD1+aTIGIT+Tdeplete,4,0,0,0,0,0,1,0,1,1,0,1,1
BETi+aPD1+NKarm+aNKG2A,4,0,0,0,0,0,0,0,0,0,0,0,0
BETi+aPD1+NKarm+Tdeplete,4,0,0,0,0,0,0,0,0,0,0,0,0
BETi+aPD1+aNKG2A+Tdeplete,4,0,0,0,0,0,0,0,0,0,0,0,0
BETi+aTIGIT+NKarm+aNKG2A,4,0,0,0,0,0,1,0,0,0,0,0,0
BETi+aTIGIT+NKarm+Tdeplete,4,0,0,0,0,0,1,0,1,1,0,1,1
BETi+aTIGIT+aNKG2A+Tdeplete,4,0,0,0,0,0,1,0,1,1,0,1,1
BETi+NKarm+aNKG2A+Tdeplete,4,0,0,0,0,0,0,0,0,0,0,0,0
aPD1+aTIGIT+NKarm+aNKG2A,4,1,0,0,0,0,1,0,0,0,0,0,0
aPD1+aTIGIT+NKarm+Tdeplete,4,1,0,0,0,0,1,0,1,1,0,1,0
aPD1+aTIGIT+aNKG2A+Tdeplete,4,1,0,0,0,0,1,0,1,1,0,1,0
aPD1+NKarm+aNKG2A+Tdeplete,4,1,0,0,0,0,0,0,0,0,0,0,0
aTIGIT+NKarm+aNKG2A+Tdeplete,4,1,0,0,0,0,1,0,1,1,0,1,0
EpiPrime+CDK46i+Diff+BETi+aPD1,5,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+BETi+aTIGIT,5,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+BETi+NKarm,5,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+BETi+aNKG2A,5,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+BETi+Tdeplete,5,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+aPD1+aTIGIT,5,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+aPD1+NKarm,5,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+aPD1+aNKG2A,5,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+aPD1+Tdeplete,5,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+aTIGIT+NKarm,5,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+aTIGIT+aNKG2A,5,0,1,1,0,1,1,0,1,1,1,1,1
EpiPrime+CDK46i+Diff+aTIGIT+Tdeplete,5,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+NKarm+aNKG2A,5,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+NKarm+Tdeplete,5,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Diff+aNKG2A+Tdeplete,5,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+BETi+aPD1+aTIGIT,5,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+BETi+aPD1+NKarm,5,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+BETi+aPD1+aNKG2A,5,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+BETi+aPD1+Tdeplete,5,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+BETi+aTIGIT+NKarm,5,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+BETi+aTIGIT+aNKG2A,5,0,1,1,0,1,1,0,1,1,1,1,1
EpiPrime+CDK46i+BETi+aTIGIT+Tdeplete,5,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+BETi+NKarm+aNKG2A,5,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+BETi+NKarm+Tdeplete,5,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+BETi+aNKG2A+Tdeplete,5,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+aPD1+aTIGIT+NKarm,5,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+aPD1+aTIGIT+aNKG2A,5,0,1,1,0,1,1,1,1,1,1,1,1
EpiPrime+CDK46i+aPD1+aTIGIT+Tdeplete,5,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+aPD1+NKarm+aNKG2A,5,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+aPD1+NKarm+Tdeplete,5,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+aPD1+aNKG2A+Tdeplete,5,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+aTIGIT+NKarm+aNKG2A,5,0,1,1,0,1,1,0,1,1,1,1,1
EpiPrime+CDK46i+aTIGIT+NKarm+Tdeplete,5,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+aTIGIT+aNKG2A+Tdeplete,5,0,1,1,0,1,1,0,1,1,1,1,1
EpiPrime+CDK46i+NKarm+aNKG2A+Tdeplete,5,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+Diff+BETi+aPD1+aTIGIT,5,0,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+Diff+BETi+aPD1+NKarm,5,0,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+Diff+BETi+aPD1+aNKG2A,5,0,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+Diff+BETi+aPD1+Tdeplete,5,0,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+Diff+BETi+aTIGIT+NKarm,5,0,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+Diff+BETi+aTIGIT+aNKG2A,5,0,1,1,0,0,1,0,0,0,0,0,0
EpiPrime+Diff+BETi+aTIGIT+Tdeplete,5,0,1,1,1,0,1,0,0,0,0,0,0
